timestamp (in IST),coin_gecko_id,symbol,name,price_in_usd,market_cap,24h_trade_volume
2022-01-15 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,40.493562880638606,11554931430.017805,1260104620.8299878
2022-01-16 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,39.27955361389856,11260591458.043362,818132802.0321491
2022-01-17 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,43.52499869130848,12451582328.282324,1300923826.0248744
2022-01-18 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,39.31080440749911,11243811367.96096,1380038116.6588383
2022-01-19 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,38.34930828177989,10995966608.218847,1224724352.7226608
2022-01-20 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,36.92662179936451,10593765771.985468,985758651.5669775
2022-01-21 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,39.07276164194776,11285585080.167103,1780586124.5406477
2022-01-22 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,34.34976803122491,9853427973.379734,2885417892.7089376
2022-01-23 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,29.267803768360988,8400323320.151299,2083329345.1216266
2022-01-24 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,34.4643476848815,9829090509.556166,2141138012.6718352
2022-01-25 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,36.104308178158796,10361693527.149603,3497675035.8980274
2022-01-26 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,36.06152355950184,10331276974.018904,2150658970.105875
2022-01-27 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,32.49571070982426,9383601995.098368,2149672708.629963
2022-01-28 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,30.18353916305386,8662299700.286915,1474349362.5331912
2022-01-29 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,29.583590770619534,8470481418.548961,1148283605.371341
2022-01-30 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,29.221966221942843,8379304928.248502,814096164.782264
2022-01-31 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,27.29021994639074,7834653893.125428,709414300.3624048
2022-02-01 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,28.174290194508053,8049725330.16,845084220.2957767
2022-02-02 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,29.063002558735487,8380617107.024742,842535277.5653257
2022-02-03 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,26.41308374928689,7607479644.065063,588835395.543213
2022-02-04 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,29.49489566518412,8472747136.599482,981533471.535811
2022-02-05 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,31.11278153295213,8914581692.177204,1049656604.6773338
2022-02-06 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,30.881639634846454,8928958666.727245,741845953.5440284
2022-02-07 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,31.321912758638643,9020448279.15336,613687518.5917375
2022-02-08 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,31.754634723859542,9167343586.248861,990332805.9943941
2022-02-09 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,30.53102518115707,8798550837.309319,821540042.6081483
2022-02-10 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,30.963072795708523,8919335828.48077,593135847.6879745
2022-02-11 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,29.179916422671667,8403073633.325664,702149916.9586935
2022-02-12 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,26.557823043187096,7649426554.425297,556176253.573416
2022-02-13 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,27.046407032763103,7765396117.800915,570301727.1459777
2022-02-14 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,26.38992746168969,7618903067.338442,345636848.88258207
2022-02-15 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,27.220738553175977,7860219184.023976,484842319.0342694
2022-02-16 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,28.989646487577623,8397083911.699718,597491958.3250836
2022-02-17 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,28.575496580856043,8279725807.947251,418205245.21377057
2022-02-18 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,28.017107744402715,8083980100.492796,1078881238.511518
2022-02-19 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,27.070861420161155,7826711034.086908,648991059.3312029
2022-02-20 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,26.71728405125772,7698851971.6136465,302529848.836479
2022-02-21 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,26.292295506798705,7651307002.949011,449269159.18948627
